station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,1,47.73728644,-122.2078103,230,Bothell and Woodinville,"c(-122.207810318206, 47.7372864401652)"
Metro Stop,KC Metro,2,47.72102976,-122.2078676,225 230,Kirkland - North,"c(-122.207867591983, 47.7210297639621)"
Metro Stop,KC Metro,5,47.61559356,-122.1964002,226 240 241 246 249,Bellevue - West,"c(-122.1964001823, 47.6155935601197)"
Metro Stop,KC Metro,3,47.6139114,-122.1970171,240 550E 556E,Bellevue - West,"c(-122.197017074938, 47.6139114049056)"
Metro Stop,KC Metro,1,47.34148148,-122.2764894,183,"Lakeland, Algona, Pacific, and Milton","c(-122.276489449862, 47.3414814776259)"
Metro Stop,KC Metro,1,47.34344601,-122.2771407,183,"Lakeland, Algona, Pacific, and Milton","c(-122.277140701146, 47.3434460127262)"
Metro Stop,KC Metro,1,47.34343956,-122.2816385,183,"Lakeland, Algona, Pacific, and Milton","c(-122.281638522188, 47.3434395606725)"
Metro Stop,KC Metro,1,47.34341492,-122.2853815,183,"Lakeland, Algona, Pacific, and Milton","c(-122.285381468084, 47.3434149208964)"
Metro Stop,KC Metro,1,47.34340621,-122.2897098,183,"Lakeland, Algona, Pacific, and Milton","c(-122.289709799896, 47.3434062090111)"
Metro Stop,KC Metro,1,47.34342923,-122.2964514,183,Federal Way - North Corridor,"c(-122.296451409952, 47.3434292330939)"
Metro Stop,KC Metro,1,47.34345837,-122.3001959,183,Federal Way - North Corridor,"c(-122.300195870167, 47.3434583749961)"
Metro Stop,KC Metro,2,47.48349553,-122.2504014,101 102,Skyway,"c(-122.25040139878, 47.4834955322125)"
Metro Stop,KC Metro,2,47.48754865,-122.2582904,101 102,Skyway,"c(-122.258290437776, 47.4875486493397)"
Metro Stop,KC Metro,2,47.53549043,-122.3150599,124 60,"Seattle - South Beacon Hill, Georgetown, and South Park","c(-122.315059945278, 47.5354904287286)"
Metro Stop,KC Metro,1,47.53367155,-122.3120161,124,"Seattle - South Beacon Hill, Georgetown, and South Park","c(-122.31201613545, 47.5336715547949)"
Metro Stop,KC Metro,1,47.45529579,-122.2233704,153,Renton - South,"c(-122.223370400726, 47.4552957936)"
Metro Stop,KC Metro,1,47.45204889,-122.2234295,153,Renton - South,"c(-122.223429454784, 47.4520488917345)"
Metro Stop,KC Metro,1,47.44413199,-122.2238411,153,Renton - South,"c(-122.223841069289, 47.4441319906441)"
Metro Stop,KC Metro,1,47.44991233,-122.2234777,153,Renton - South,"c(-122.223477651442, 47.449912332943)"
Metro Stop,KC Metro,1,47.46471832,-122.2232696,153,Renton - South,"c(-122.223269631024, 47.4647183221863)"
Metro Stop,KC Metro,1,47.4489965,-122.2237039,153,Renton - South,"c(-122.223703875328, 47.4489964957376)"
Metro Stop,KC Metro,1,47.27828841,-122.2500257,917,"Lakeland, Algona, Pacific, and Milton","c(-122.250025699034, 47.2782884058709)"
