FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Alternative,West Seattle Montessori School & Academy,98146,-122.3542862,47.50224012,HIGHLINE,-122.3542839,47.50224194,Burien,"c(-122.354283933524, 47.5022419431334)"
School-High,Skyline High School,98075,-122.0314096,47.60003441,ISSAQUAH,-122.0314079,47.6000368,Sammamish,"c(-122.031407944298, 47.6000367990362)"
School-College or University,Green River College,98092,-122.1757242,47.31357254,AUBURN,-122.1757209,47.31357465,Auburn - North,"c(-122.175720940657, 47.313574653216)"
School-Elementary,Stevens Elementary School,98112,-122.3080288,47.63192964,SEATTLE,-122.3080271,47.63193148,Seattle - Capitol Hill,"c(-122.308027149626, 47.6319314809062)"
School-High,Kentridge High School,98031,-122.1739662,47.41666943,KENT,-122.1739635,47.41667156,Kent - East,"c(-122.173963495028, 47.4166715588953)"
School-Junior High/Middle,Meeker Middle School,98058,-122.1725004,47.43103512,KENT,-122.1724978,47.43103725,Fairwood,"c(-122.172497840217, 47.4310372526629)"
School-Elementary,Woodridge Elementary School,98005,-122.1728781,47.59195588,BELLEVUE,-122.1728764,47.59195799,Bellevue - West,"c(-122.172876368747, 47.5919579873151)"
School-Alternative,Jing Mei Elementary School,98006,-122.1709156,47.55216924,BELLEVUE,-122.1709137,47.55217136,Bellevue - South,"c(-122.17091365698, 47.5521713591316)"
School-Elementary,Soos Creek Elementary School,98031,-122.1719026,47.40613476,KENT,-122.1718999,47.40613689,Kent - East,"c(-122.171899905923, 47.4061368854474)"
School-Alternative,Discovery Community School,98034,-122.2312602,47.71614604,LAKE WASHINGTON,-122.2312589,47.71614801,Kirkland - North,"c(-122.231258920441, 47.7161480122946)"
School-Elementary,Woodin Elementary School,98011,-122.1675087,47.7680405,NORTHSHORE,-122.1675078,47.76804248,Bothell and Woodinville,"c(-122.167507758709, 47.768042482463)"
School-Elementary,Olympic Hills Elementary School,98125,-122.3068576,47.72405361,SEATTLE,-122.3068564,47.72405544,Seattle - Northgate and Lake City,"c(-122.306856390165, 47.724055437688)"
School-Alternative,Broadview-Thomson K-8 School,98133,-122.3543359,47.7246807,SEATTLE,-122.3543347,47.72468242,"Seattle - Broadview, Haller Lake, and Licton Springs","c(-122.354334721183, 47.7246824201952)"
School-Elementary,Silver Lake Elementary School,98023,-122.3522208,47.31017308,FEDERAL WAY,-122.3522175,47.31017482,Federal Way - Central,"c(-122.352217548897, 47.3101748238888)"
School-Alternative,Valley Christian School,98002,-122.2110721,47.30644924,AUBURN,-122.2110688,47.30645127,Auburn - North,"c(-122.211068770257, 47.3064512680148)"
School-Elementary,Peter Kirk Elementary School,98033,-122.1959513,47.68603675,LAKE WASHINGTON,-122.1959499,47.68603878,Kirkland - South,"c(-122.195949892366, 47.6860387794399)"
School-Elementary,Whittier Elementary School,98117,-122.3730788,47.68358941,SEATTLE,-122.3730774,47.68359111,Seattle - Ballard,"c(-122.373077407812, 47.6835911118526)"
School-Alternative,Cedar Park Elementary School,98125,-122.2875313,47.72581248,SEATTLE,-122.2875301,47.72581435,Seattle - Northgate and Lake City,"c(-122.287530090315, 47.7258143450843)"
School-Elementary,Leschi Elementary School,98122,-122.2918144,47.60210009,SEATTLE,-122.2918126,47.60210197,"Montlake, Madison Park, and Madrona","c(-122.291812617601, 47.6021019702049)"
