"hra_name","year","bedrooms","n","mean","sd","min","Q_25","Q_50","Q_75","max"
"Bear Creek and Greater Sammamish","2019","2",1,500,NA,500,500,500,500,500
"Bear Creek and Greater Sammamish","2019","3",8,3333.75,3146.79173354159,990,2200,2445,2595,11000
"Bear Creek and Greater Sammamish","2020","2",1,2000,NA,2000,2000,2000,2000,2000
"Bear Creek and Greater Sammamish","2020","3",2,2600,565.685424949238,2200,2400,2600,2800,3000
"Bear Creek and Greater Sammamish","2020","4+",1,6000,NA,6000,6000,6000,6000,6000
"Bear Creek and Greater Sammamish","2021","1",1,1125,NA,1125,1125,1125,1125,1125
"Bear Creek and Greater Sammamish","2021","3",3,3070,310.966236109324,2800,2900,3000,3205,3410
"Bellevue - Central","2017","0",81,1407.74074074074,190.557785053365,1000,1295,1375,1506,1988
"Bellevue - Central","2017","1",669,1644.26905829596,442.224367907421,136,1505,1623,1725,11777
"Bellevue - Central","2017","2",1236,1994.3074433657,320.486595084353,554,1795,1905,2095,3737
"Bellevue - Central","2017","3",200,2691.03,629.670280712104,650,2395.75,2768,3100,4450
"Bellevue - Central","2017","4+",42,3535.47619047619,1204.06821049176,1000,2912.5,3125,3687.5,6500
"Bellevue - Central","2018","0",369,1488.63956639566,255.276401044527,1000,1350,1399,1570,2822
"Bellevue - Central","2018","1",2912,1691.6146978022,580.148194056158,50,1545,1668,1771,18229
"Bellevue - Central","2018","2",4786,2065.85445420326,441.317641807502,215,1850,2000,2195,19500
"Bellevue - Central","2018","3",734,2554.69167803547,731.017213957908,580,2200,2699,3068,4600
"Bellevue - Central","2018","4+",156,3360.35064935065,1148.54066845327,452,2750,3100,3698.75,10000
"Bellevue - Central","2019","0",233,1458.31603773585,445.462791598713,99,1399,1555.5,1701.75,3095
"Bellevue - Central","2019","1",2055,1761.75851231011,493.393608034982,20,1680,1798,1885,17387
"Bellevue - Central","2019","2",2324,2120.40301318267,545.838040773021,99,1929.75,2125,2408,3500
"Bellevue - Central","2019","3",405,2872.28647214854,830.555919731208,250,2500,3150,3383,5000
"Bellevue - Central","2019","4+",132,3195.08035714286,1428.86498859994,33,2498.75,3197.5,4022.25,9800
"Bellevue - Central","2020","0",58,1102.38,318.811625655435,250,993.25,1100,1200,1746
"Bellevue - Central","2020","1",411,1834.52421652422,3128.78233893185,20,1400,1678,1735,58644
"Bellevue - Central","2020","2",586,1896.9083503055,482.80769585315,20,1750,1973,2050,3250
"Bellevue - Central","2020","3",93,2758.22727272727,731.933256916901,50,2437.5,2950,3225,4150
"Bellevue - Central","2020","4+",15,3539.78571428571,558.822137462969,2695,3295,3450,3700,4777
"Bellevue - Central","2021","0",288,1426.13541666667,354.914337796242,238,1146,1400,1550,2850
"Bellevue - Central","2021","1",930,1731.2688172043,281.745315516704,773,1530,1720,1930,2998
"Bellevue - Central","2021","2",1463,2110.4046479836,307.791035906062,1400,1896,2050,2251.5,3300
"Bellevue - Central","2021","3",75,3180.09333333333,774.008296158719,1500,2710.5,3086,3300,4561
"Bellevue - Central","2021","4+",10,3419.9,1217.09311704387,1200,2999.25,3225,3637.5,6000
"Bellevue - Central","2022","0",88,1502.44318181818,391.186255369178,1148,1400,1400,1458.75,4650
"Bellevue - Central","2022","1",320,1931.096875,331.877805424151,700,1703.75,1899.5,2186.5,2874
"Bellevue - Central","2022","2",663,2446.90950226244,423.012603231455,925,2200,2450,2704.5,4094
"Bellevue - Central","2022","3",33,3026.54545454545,824.765462529693,1200,2690,2729,3647,4595
"Bellevue - Central","2022","4+",8,4185.625,1069.07649565942,2900,3296.25,4200,4847.5,6000
"Bellevue - Northeast","2017","0",29,1586.44827586207,195.735350885339,950,1537,1650,1699,1770
"Bellevue - Northeast","2017","1",445,1757.37528089888,328.858982648598,900,1574,1664,1844,3125
"Bellevue - Northeast","2017","2",1102,2036.15818181818,277.140875797197,205,1841.75,1999,2150,3737
"Bellevue - Northeast","2017","3",183,2504.60655737705,449.768668696898,880,2374,2424,2597.5,3950
"Bellevue - Northeast","2017","4+",90,3467.72222222222,1022.83159539307,1445,2895,3499,3649.75,8750
"Bellevue - Northeast","2018","0",142,1676.40845070423,280.945646163616,508,1588,1603,1695,2817
"Bellevue - Northeast","2018","1",1796,1746.87082405345,243.853392220805,320,1626,1700,1825,2906
"Bellevue - Northeast","2018","2",3182,2072.73915776241,318.40022814322,457,1874,2025,2205,3750
"Bellevue - Northeast","2018","3",700,2429.02,471.773883970453,550,2287,2425,2557,5000
"Bellevue - Northeast","2018","4+",309,3412.17475728155,823.913898546371,875,2925,3600,3750,8750
"Bellevue - Northeast","2019","0",184,1679.69934640523,215.217793145483,500,1595,1660,1750,3523
"Bellevue - Northeast","2019","1",1042,1762.74803149606,420.841415798384,45,1652,1795,1929,2967
"Bellevue - Northeast","2019","2",1310,2062.25414847162,596.878713361418,47,1914,2099,2312,4029
"Bellevue - Northeast","2019","3",269,2398.50854700855,741.035172266524,47,2325,2468,2608,8000
"Bellevue - Northeast","2019","4+",126,3312.26666666667,1171.08960823364,250,2800,3100,3914,8500
"Bellevue - Northeast","2020","0",84,1482.109375,349.017765372531,300,1409,1537.5,1620,2009
"Bellevue - Northeast","2020","1",191,2281.45033112583,6144.90459127315,225,1609,1745,1910,77100
"Bellevue - Northeast","2020","2",392,2114.68587896254,488.849778812578,45,1986.5,2175,2305,3895
"Bellevue - Northeast","2020","3",109,2458.80808080808,551.333498035883,1350,2380,2430,2455,4415
"Bellevue - Northeast","2020","4+",25,3569.86363636364,1268.46439954002,47,3600,3914,3924,5750
"Bellevue - Northeast","2021","0",342,1799.37134502924,292.917630967007,1345,1556.75,1807,1948.75,2985
"Bellevue - Northeast","2021","1",1458,2030.28943758573,387.538648952516,100,1764,1937,2319.5,3380
"Bellevue - Northeast","2021","2",1264,2526.41693037975,448.144388490608,800,2147.25,2589.5,2849,4195
"Bellevue - Northeast","2021","3",345,2834.68695652174,456.023950664187,1350,2623,2750,2921,6000
"Bellevue - Northeast","2021","4+",43,3754.37209302326,918.784264621975,1595,3400,3695,4150,7500
"Bellevue - Northeast","2022","0",80,2151.3,388.371360844296,950,1869,2052.5,2360,3475
"Bellevue - Northeast","2022","1",608,2272.11677631579,358.526470658586,644,1986,2266.5,2523.5,4200
"Bellevue - Northeast","2022","2",539,2928.82745825603,486.601825258614,1000,2625,2850,3235,6588
"Bellevue - Northeast","2022","3",151,2999.7880794702,543.374108195223,900,2872.5,3060,3136,5500
"Bellevue - Northeast","2022","4+",31,4239.35483870968,808.81677152027,1900,4275,4555,4585,6250
"Bellevue - South","2017","1",97,1757.16494845361,329.405356931635,1350,1550,1599,1771,2499
"Bellevue - South","2017","2",282,1916.86879432624,223.979569364019,1350,1790,1879,1972.25,2759
"Bellevue - South","2017","3",115,2522.12173913043,551.096262292477,600,2322.5,2438,2537.5,4500
"Bellevue - South","2017","4+",112,3782.49107142857,1385.41877752135,2100,2999.75,3450,4261.25,14000
"Bellevue - South","2018","1",462,1810.59090909091,402.074592106772,350,1610,1649.5,1820,2549
"Bellevue - South","2018","2",707,1946.75530410184,257.245417668864,321,1835,1929,2030.5,3280
"Bellevue - South","2018","3",326,2317.59509202454,637.010509639537,100,2107.5,2338,2612.5,4800
"Bellevue - South","2018","4+",198,3492.78680203046,1053.93215385383,750,2950,3350,3900,7000
"Bellevue - South","2019","0",1,1450,NA,1450,1450,1450,1450,1450
"Bellevue - South","2019","1",163,1832.48366013072,431.540235737294,150,1649,1713,1945,2800
"Bellevue - South","2019","2",398,1977.80821917808,288.172703556594,700,1820,1959,2179,2680
"Bellevue - South","2019","3",186,2328.4076433121,740.58312917812,20,2000,2533,2885,3600
"Bellevue - South","2019","4+",108,3060.97916666667,1079.82433248889,40,2783.75,3197.5,3600,5500
"Bellevue - South","2020","0",1,950,NA,950,950,950,950,950
"Bellevue - South","2020","1",31,1606.03571428571,162.957272778243,1250,1470,1632.5,1718.75,1890
"Bellevue - South","2020","2",53,1809.27272727273,320.355933127613,400,1644,1797.5,1988.75,2925
